node_id,code,reason,surfacings,snippet
rn95g83jpjrwcssz5xreji91,auto-713bf0ae99c4,"pattern:^\s*#{1,6}\s",21,"# APE Plugin Template  ## manifest.json {""id"":""PLUGIN_ID"",""name"":""PLUGIN_NAME"",""version"":""1.0.0"",""type"":""APE"",""binary"":"""
lrxmot9h6klfgnrg7vdlebiu,incremental-hidden-clustering,obs_type:task,10,OPEN MUST-FIX DEFECT — HIDDEN-CHURN-003 (incremental hidden-layer clustering). HIDDEN-CHURN-002 (shipped 2026-06-24) is 
mivymm87d2xoqa8see3x5l4n,http-write-timeout-600s,obs_type:error,4,"Bash error in command: cd /Users/reh3376/mdemg echo ""=== HTTPWriteTimeout (the only current bound) + is there a retrieve"
dlvvovrm1fcms80ggg9amj64,convert-gate-end-to-end,obs_type:progress,1,FT Epic 6 MILESTONE 3+4: convert + gate stages validated end-to-end. CONVERT (E6-4): mlx_lm.fuse --dequantize (28GB bf16
kl06kqafdzcc0cnb5gu6ud70,required-files-count-complexity-overrides,pattern:(?i)^(?:sprint|phase|pr)\s+[#\w./+-]+\s*(?:is\s+)?(?:fully\s+)?(?:complete|completed|implemented|shipped|merged|executed|done)\b,1,"Phase 14.1 complete (flag-off). 16q quick PASSED at adaptive-arch-only preset (mean parity, 0 regressions, 1 improvement"
n1oc8c13qtwqvxrzsj78gmk7,auto-91d652357514,obs_type:progress,1,"Sprint TSDB-CONSUME-001 complete (PR #441). V0025 retention+compression (schema 25, 0-row first run); windowed percentil"
osv09uioyq0kbpochut6nfsg,prompt-budget-guardrail-success,obs_type:progress,1,"APE-PROMPT-BUDGET-001 live Tier 3 PASSED: after restarting the server with the prompt-budget fix, 3/3 fresh post-restart"
a6qj3zu5wlnfaelbr6pcoer5,phase49-mdemg-sdk-planning,obs_type:progress,0,Completed exploration of MDEMG plugin system for Phase 49 (LLM Plugin SDK). Key findings: 12 existing plugins in plugins
capzwixtpr2ft2hnhwoxjdxk,mcp-revolution-complete,obs_type:progress,0,Sprint MCP-REVIVE-001 complete (PR #444). MCP memory channel unified: space resolution explicit param > MDEMG_SPACE_ID e
ed7n2brlnfccsp9u848rdbya,must-not-skip-sprint-sections,pattern:(?i)^sprint plan\b,0,SPRINT PLAN SECTION SUMMARY (v1.0):  | # | Section | Required | Purpose | |---|---------|----------|--------| | 1 | Head
gkv55bu5mxno421donld1u1z,global-meta-learn-promo,pattern:(?i)^(?:sprint|phase)\s+[#\w./+-]+\s+spec\b,0,PHASE 105 SPEC: Global Meta-Learning — Cross-space promotion of L4/5 concepts to global org-level graph for true cross-p
h36ho4mcybcbfkjw05p9vl8s,auto-3555522c328e,pattern:(?i)^(?:sprint|phase)\s+[#\w./+-]+\s+spec\b,0,PHASE 102 SPEC: Intent Translation — Query rewriting before vector embedding to align conversational queries with declar
h8m0nk5uxt6sxb84pvjs2ojp,hidden-churn-003-resolved,obs_type:progress,0,"RESOLVED — HIDDEN-CHURN-003 shipped 2026-06-25, closing the must-fix defect logged earlier (obs ac9kyykvavz7myfc55ru87xy"
hhvonmxh5hxmoq930iq2j0ei,auto-12cd38bcf86b,"pattern:^\s*#{1,6}\s",0,"# Plugin Troubleshooting Reference  ## ""binary not found"" - Verify binary exists in plugin directory - Verify manifest.b"
i3zweslbv17xe0acfwt7s6cq,memory-core-endpoints,"pattern:^\s*#{1,6}\s",0,# Core Memory Endpoints  ### Retrieve: POST /v1/memory/retrieve Semantic search with graph traversal. Parameters: - spac
in20szsi4s6i50vgh17ro2tp,auto-7608c9b6097d,pattern:(?i)^(?:sprint|phase)\s+[#\w./+-]+\s+spec\b,0,PHASE 105 SPEC: Global Meta-Learning — Cross-space promotion of L4/5 concepts to global org-level graph for true cross-p
j4gzc0qdcfqrsgvo81mbom84,intent-translation-before-embedding,pattern:(?i)^(?:sprint|phase)\s+[#\w./+-]+\s+spec\b,0,PHASE 102 SPEC: Intent Translation — Query rewriting before vector embedding to align conversational queries with declar
mvq10wcq85f6u1pttks8c83n,cms-trigger-conditions,pattern:(?i)^skill:,0,SKILL: CMS Self-Improvement — Trigger Conditions  Activate this skill when ANY of the following occur:  1. Context Loss 
ntbl703czr0rixl3e9yth3wa,auto-12cd38bcf86b,"pattern:^\s*#{1,6}\s",0,"# Plugin Troubleshooting Reference  ## ""binary not found"" - Verify binary exists in plugin directory - Verify manifest.b"
o8ck1l20f87umb67gh45ykyf,cms-self-improvement-triggers,pattern:(?i)^skill:,0,SKILL: CMS Self-Improvement — Trigger Conditions  Activate this skill when ANY of the following occur:  1. Context Loss 
pkqjnjnm97jqehsnvahzdds5,auto-d70d6df3f5f5,pattern:(?i)^(?:sprint|phase|pr)\s+[#\w./+-]+\s*(?:is\s+)?(?:fully\s+)?(?:complete|completed|implemented|shipped|merged|executed|done)\b,0,Phase 80 COMPLETED: CMS ANN Meta-Cognition & Self-Improvement Enforcement. 4 sub-phases: server-side anomaly detection (
pqjconlcig62sipsc0hnq8p9,incremental-hidden-clustering,obs_type:task,0,OPEN MUST-FIX DEFECT — HIDDEN-CHURN-003 (incremental hidden-layer clustering). HIDDEN-CHURN-002 (shipped 2026-06-24) is 
ps5xdijzs9tf09mid3h9a39t,mandatory-use-cms-every-session,"pattern:^\s*#{1,6}\s",0,# CMS Endpoints (Conversation Memory System)  ## MANDATORY: Use CMS on every session  ### Resume: POST /v1/conversation/
qdk7hvvaxii6x92xk2n0bmxo,must-follow-llm-multi-hop-synthesis-guidance,obs_type:error,0,Bash error in command: python3 docs/tests/ults/runners/ults_runner.py verify-hashes 2>&1 | tail -20 Output: usage: ults_
rok2zqn9vpcxfezzdqs71qe7,must-not-skip-sprint-sections,pattern:(?i)^sprint plan\b,0,SPRINT PLAN SECTION SUMMARY (v1.0):  | # | Section | Required | Purpose | |---|---------|----------|--------| | 1 | Head
rp2d41qxpwenz7cbkn8oxl5y,auto-253f52f0c44f,pattern:(?i)^(?:sprint|phase)\s+[#\w./+-]+\s+spec\b,0,PHASE 103 SPEC: Dynamic Emergence — Replace hardcoded consolidation patterns with density-based cluster detection and LL
s84t05tf26z0ppba1d4by8b6,boost-score-ranking-logic,"pattern:^\s*#{1,6}\s",0,"# REASONING Plugin Template  ## manifest.json {""id"":""PLUGIN_ID"",""name"":""PLUGIN_NAME"",""version"":""1.0.0"",""type"":""REASONING"
sq1wcst2m7udu95x4x2i2km5,health-threshold-calibration,pattern:(?i)^skill:,0,SKILL: CMS Self-Improvement — Investigation Templates F-H (RSIC/Pipeline/Temporal)  Template F — RSIC Health Investigati
td68z8pak21rwve9ml02xv20,auto-32587f2bb516,pattern:(?i)^(?:sprint|phase)\s+[#\w./+-]+\s+spec\b,0,PHASE 104 SPEC: Active MCP Guardrails — Pre-commit/MCP-level validation against ConstraintNodes to proactively block arc
u2itcsbupnfbv6rxdgfaeze2,llm-hetero-graph-synthesis,pattern:(?i)^(?:sprint|phase)\s+[#\w./+-]+\s+spec\b,0,PHASE 101 SPEC: SME Synthesis Engine — Upgrade /v1/memory/consult to use LLM-based multi-hop synthesis.  API Changes: - 
uv2vvj73fwy6cscwlzv4ceoj,precommit-guardrail-check,pattern:(?i)^(?:sprint|phase)\s+[#\w./+-]+\s+spec\b,0,PHASE 104 SPEC: Active MCP Guardrails — Pre-commit/MCP-level validation against ConstraintNodes to proactively block arc
vhwsdzfiemgom69p3onqp3zg,auto-5b4c2949bc51,obs_type:error,0,Bash error in command: # Final check: review.js reinforce_default - line 16 spaceId() gets state.get('selectedSpace') # 
yasj9wm6iyg4xoz5iyle3v31,auto-e9184a53f0fd,"pattern:^\s*#{1,6}\s",0,"# Common Workflows  ### 1. Start of Session Always resume CMS first: POST /v1/conversation/resume with {space_id:""mdemg-"
