nid, code, name, content
"w6l910lztpntwlv4gdawy2od", "branch-protection-must-be-enforced", "CORRECTION: I attempted to commit directly to the main branch bypassing the dev-branch workflow", "CORRECTION: I attempted to commit directly to the main branch bypassing the dev-branch workflow. This violates the mandatory branch-protection policy. Should have branched from main to reh3376_dev01 first."
"t1573m9kuawn47yf71zfsv5d", "cluster-conversation-obs-edge-type-mismatch", "CRITICAL BUG FOUND: ClusterConversations had edge type mismatch — orphan filter checked THEME_OF but creation used GEN", "CRITICAL BUG FOUND: ClusterConversations had edge type mismatch — orphan filter checked THEME_OF but creation used GENERALIZES. Result: every consolidation re-themed ALL observations, creating 24,276 themes from 570 observations (42:1 expansion). Fixed: renamed to fetchClusterableConversationObservations, added noise filtering, added detachObservationThemeEdges for clean re-clustering."
"x47b5xku4nqeph8hlntmf8cu", "co-located-conversation-memory", "MDEMG codebase ingestion must use space_id=mdemg-dev (Claude CMS space), NOT a separate space", "MDEMG codebase ingestion must use space_id=mdemg-dev (Claude CMS space), NOT a separate space. This ensures codebase knowledge is co-located with conversation memory for recall."
"igtz7vhy844cngs49xxv2bhw", "correction-guardrail-pinned-permanent-auto-5a20120", "CORRECTION: Incorrect: silently deferred a failing test as pre-existing | Correct: fix every discovered failure immediat", "CORRECTION: Incorrect: silently deferred a failing test as pre-existing | Correct: fix every discovered failure immediately, even if unrelated to the current task | Context: own-test-failures-immediately rule"
"mqaibfc46k0utox5xprrfag7", "e2e-tests-before-commit", "CRITICAL WORKFLOW: implement → lint → e2e test → restore state → update docs → stage → commit", "CRITICAL WORKFLOW: implement → lint → e2e test → restore state → update docs → stage → commit. Never declare complete without running e2e tests."
"lt2943ag3pwadz2qqob7biyf", "enforce-jiminy-constraint-blockers", "ARCHITECTURAL DIRECTIVE 2026-08-01 (operator): Jimini's purpose is to ENFORCE hard constraints on the main LLM's behavio", "ARCHITECTURAL DIRECTIVE 2026-08-01 (operator): Jimini's purpose is to ENFORCE hard constraints on the main LLM's behavior, not merely advise. When the main LLM violates a Jiminy constraint, the user MUST be alerted. Jiminy's overarching purpose is to force the stateless + probabilistic nature of an LLM into a stateful + deterministic set of behaviors. The enforcement cycle MUST be RSIC-governed so Jiminy continuously learns from its own enforcement decisions (false-blocks weaken the constraint; missed-violations strengthen or extend coverage). The current default-advisory + opt-in /strict architecture is MISALIGNED with this intent — /strict should be the DEFAULT, coverage MUST extend beyond Write/Edit to include Bash (and any other action-producing tool), and violations MUST both block AND alert. This directive supersedes any prior framing of Jiminy as advisory-by-design."
"dcgkim6e6s5ck5b8puvkqb70", "epic-sequencing-enforce", "CORRECTION: Do NOT parallelize epics", "CORRECTION: Do NOT parallelize epics. Epic 1 (Foundation/Documentation) must complete fully before Epic 2 (Causal Insertion) begins. The documentation in Epic 1 drives the implementation in Epic 2. Running them concurrently short-circuits the design-first process."
"iidzxzceeqo9sabigpqmxxap", "file-path-access-tracker", "MANDATORY: Every phase development doc MUST end with a Documents Accessed list — every file read or referenced during", "MANDATORY: Every phase development doc MUST end with a Documents Accessed list — every file read or referenced during development. This list is the definitive source for which docs need updating before commit. Without it, docs like README.md, CONTRIBUTING.md, CHANGELOG.md, API_REFERENCE.md get missed. The user calls these all relevant documentation."
"jgvvgmihvclbscjttpirb8bj", "live-test-correction-coverage", "Live test for type: correction", "Live test for type: correction"
"j5i19trrgg1tpo7xm34yupme", "mandatory-cms-usage-tracking", "Standing directive: Ensure CMS framework is used as intended at all times", "Standing directive: Ensure CMS framework is used as intended at all times. Observe decisions, corrections, learnings, preferences, and errors continuously throughout every session. Never let significant events go unrecorded."
"gs7wx6alww0o643fyuoi4j5n", "mandatory-e2e-live-check-auto-3555522c328e-guardra", "MANDATORY WORKFLOW: ALWAYS run e2e testing once a new section of development is complete", "MANDATORY WORKFLOW: ALWAYS run e2e testing once a new section of development is complete. ALWAYS update all relevant documentation (specs, phase docs, AGENT_HANDOFF.md, MEMORY.md) BEFORE staging and committing changes. Sequence: implement → e2e test → update docs → stage → commit. No exceptions."
"libdd29x50s29v5u2l6o2lye", "mandatory-follow-corrected-workflow", "CRITICAL WORKFLOW VIOLATION (Phase 101): Declared implementation complete and presented a commit-ready summary WITHOUT r", "CRITICAL WORKFLOW VIOLATION (Phase 101): Declared implementation complete and presented a commit-ready summary WITHOUT running E2E tests or updating documentation. Violated mandatory sequence: implement → lint → e2e test → restore state → update docs → stage → commit. Skipped Steps 9 (E2E) and 10 (docs) entirely. User had to explicitly ask \"what were the e2e test results?\" to catch the omission. Root cause: treated task-list completion as work completion instead of following the actual workflow sequence. LESSON: TaskUpdate status=completed means nothing — the mandatory workflow sequence is the only definition of done. Never present a completion summary until every step in the sequence has actually executed and produced verifiable output."
"bxz6hssryy6jg6gld0mwet9n", "mdemg-cms-memory-only", "Markdown memory files (", "Markdown memory files (.claude/memory/) are REMINDERS AND KEYS only — not actual memory. All real persistent memory lives in MDEMG CMS (Neo4j graph in mdemg-dev space)."
"r58lfhaqcgdkedanlv9ws01l", "must-master-bash-sed-edit", "CRITICAL CORRECTION: Do NOT modify code without first switching to planning mode and creating a development plan", "CRITICAL CORRECTION: Do NOT modify code without first switching to planning mode and creating a development plan. This codebase is too complex for on-the-fly changes without context research. The goreleaser nfpm fix (removing type:glob, adding submodules:recursive) was made as a reactive hotfix without planning — exactly the behavior being constrained. Must enter plan mode BEFORE any code modification, research context, then propose changes. Jiminy should detect and redirect when code modifications are attempted without an active plan."
"ymehdkihmj2yiu7t3bywsgxc", "never-commit-to-main-directly", "CORRECTION: Incorrect: I committed directly to main branch, bypassing the dev-branch workflow (git checkout main; git co", "CORRECTION: Incorrect: I committed directly to main branch, bypassing the dev-branch workflow (git checkout main; git commit -m fix; git push origin main). This directly opposes the never-commit-to-main rule. | Correct: After merging a PR to main via --admin, if the dev branch has more work to push, rebase the dev branch onto main (git pu | Context: After merging a PR to main via --admin, if the dev branch has more work to push, rebase the dev branch onto main (git pu"
"xo5j4upcvw09jhiizvx9wr29", "never-direct-main-commits", "CONSTRAINT: NEVER commit directly to main branch", "CONSTRAINT: NEVER commit directly to main branch. All development work happens on mdemg-dev01. Main is branch-protected — changes reach it only via PR. The auto-pr.yml workflow creates PRs automatically on push to mdemg-dev01. Always verify branch before any git operation: git branch --show-current must show mdemg-dev01."
"ygg1bi95w53bhh6eaesohgel", "never-manual-pr-author-field", "CORRECTION: When a foundational CI trigger (e", "CORRECTION: When a foundational CI trigger (e.g. auto-pr.yml on push) fails silently, do NOT execute the workflow's job body manually from the CLI (`gh pr create` from the maintainer's shell) as a workaround. That pattern silently changes the PR authorship trail (author = maintainer instead of github-actions[bot]), which breaks the 'author cannot approve own PR' branch-protection contract on main and blocks the normal review flow. The correct response is: (1) investigate the root cause (webhook drop, workflow file, permissions), (2) add a workflow_dispatch trigger to the affected workflow as a real fallback path if the root cause is external, (3) file a support ticket if the issue is on the CI provider's side. Session 2026-08-06 opened PRs #590, #591, #592 via manual `gh pr create` before this pattern was flagged by the operator — Jiminy did not classify or escalate any of these Bash invocations against a 'investigate root cause not patch' constraint. Worth strengthening the classifier's coverage on shell commands that invoke `gh pr create` when a preceding auto-pr silent skip was observed in the same session."
"sxslg5jb70p3lqxl3nn3vg4b", "never-stash-goreleaser", "CORRECTION: Never use git stash as a workaround for goreleaser dirty-state checks", "CORRECTION: Never use git stash as a workaround for goreleaser dirty-state checks. The correct approach is to commit all pending changes BEFORE running goreleaser release. If files are not ready to commit, they should be properly handled (committed as WIP, or the release should wait). Stashing to bypass tool checks is a bad practice that leaves orphaned state."
"udj36wr5pmwcgmlel3ffndtw", "no-direct-main-commits-must-master-cms-usage-track", "CORRECTION: Incorrect: I committed directly to main branch, bypassing dev-branch + PR workflow — this directly contrad", "CORRECTION: Incorrect: I committed directly to main branch, bypassing dev-branch + PR workflow — this directly contradicts the never-commit-to-main rule. | Correct: After merging a PR to main via --admin, if the dev branch has more work to push, rebase the dev branch onto main (git pu | Context: After merging a PR to main via --admin, if the dev branch has more work to push, rebase the dev branch onto main (git pu"
"z2s4nlb6j7nzwogv2670oqyr", "no-hardcode-pool-sizes", "CORRECTION: Do not hardcode connection pool sizes", "CORRECTION: Do not hardcode connection pool sizes. Use configuration from environment variables with sensible defaults. The pool size of 50 caused OOM in production."
"mg7y7kxiakxnm2ubbr49cqij", "no-skip-context-research", "At 105+ phases, 2000+ line API docs, and 60+ files per commit, the planning protocol is not overhead — it is the only", "At 105+ phases, 2000+ line API docs, and 60+ files per commit, the planning protocol is not overhead — it is the only thing preventing drift. Skipping context research leads to false negatives (e.g., claiming Jiminy healthz/ready endpoints do not exist when /readyz already had Jiminy health logic at line 164 of handlers.go). The more complex the codebase gets, the more plan-first discipline pays for itself. NEVER skip the research step before declaring something does not exist."
"tpv3o1dkjerngi91giztmid9", "no-unordered-limit-sampling", "CORRECTION: the previous approach was wrong — never use the unordered LIMIT sample for novelty; this must be replaced", "CORRECTION: the previous approach was wrong — never use the unordered LIMIT sample for novelty; this must be replaced. The earlier assumption was incorrect."
"to2ige27qjqejfn3jk29y6ao", "openai-completion-token-requirement", "RECURRING BUG (3rd occurrence): OpenAI chat/completions API — newer models (gpt-5", "RECURRING BUG (3rd occurrence): OpenAI chat/completions API — newer models (gpt-5.x, gpt-4.1+) REQUIRE the `max_completion_tokens` parameter; `max_tokens` is rejected with HTTP 400 `Unsupported parameter` error. ALL new LLM-calling code that targets OpenAI must use `max_completion_tokens`. MLX-local and legacy OpenAI-compatible endpoints still accept `max_tokens`. Pattern: `token_key = \"max_completion_tokens\" if \"api.openai.com\" in base_url else \"max_tokens\"`. Discovered again 2026-04-22 in `neural/training/distill_driver.py` — patched in _chat_completion(). Check codebase proactively when writing any new OpenAI HTTP wrapper."
"kmiwfaprr4o4m63k5mhhm6s1", "own-all-test-failures-immediately", "Standing directive: If a test failure is found during any work, it is my responsibility to fix it immediately", "Standing directive: If a test failure is found during any work, it is my responsibility to fix it immediately. Never leave a failure for someone else. Own every failure you encounter."
"gsnfr0orcdct6e2kqwl3yb50", "project-planning-docs-in-repo-only", "CORRECTION: Sprint plans (and all project planning docs) belong in docs/development/<sprint-line>/ inside the repo — N", "CORRECTION: Sprint plans (and all project planning docs) belong in docs/development/<sprint-line>/ inside the repo — NOT in ~/Downloads/. The mdemg repo has an established pattern at docs/development/ft-lora/ for the local-LoRA sprint line; mirror it with docs/development/ft-oai/ for the OpenAI FT sprint line. Reason: Downloads is ephemeral user space — docs there are not versioned with the code, not discoverable via repo grep, not visible to reviewers on a PR. This applies to sprint plans, design docs, decision memos — anything that informs or documents work on the repo. When drafting a new planning doc, check for an existing docs/development/<topic>/ directory first; create one to match the existing ft-lora pattern if the sprint line is new."
"eq908c7luxc9wwdgfhyaogwb", "query-mdemg-cms-file-paths", "Do NOT use glob/grep to search for file paths", "Do NOT use glob/grep to search for file paths. Instead, query MDEMG CMS to discover file paths and code structure."
"xbiygqcxx7t49gsobx2fcx6r", "resolve-issues-immediately", "MANDATORY RULE: Never leave discovered issues unresolved", "MANDATORY RULE: Never leave discovered issues unresolved. When issues are found during development — even if unrelated to the current task — they must be either (1) fixed immediately, or (2) documented and tracked for resolution once the current task set completes. Suggesting to skip, ignore, or defer issues indefinitely is NEVER acceptable. At minimum, note the issue explicitly and return to it. This applies to test failures, bugs, lint warnings, stale data, broken endpoints, missing checks — everything. Jiminy should monitor for and correct any agent behavior that suggests skipping discovered issues."
"sc2qw139e12e7xosg9b23b1f", "trust-signal-disconnect-correction-guardrail", "J17 trust score 25", "J17 trust score 25.4% (and Jiminy actionable compliance ~14% steady state) are NOT harmless-by-design. Operator (2026-08-01): trust reflects the receiving agents confidence in MDEMG guidance; 25.4% means the agent has learned to distrust because most surfaced items are not worth acting on. Reframe: the ~14% honest steady state and the 25.4% trust EMA are the same substrate-quality signal seen from producer + receiver sides. Do not normalize either as acceptable. The JIMINY-CORPUS + HITL-CURATION + Lever-C-tuning arc must actually raise follow rate + trust, not just make the dashboards render the low number in green."
"d9g5ctprlomfum1c0i8cadqd", "user-corrected-docker-compose-start", "User corrected: use docker compose, not mdemg db start", "User corrected: use docker compose, not mdemg db start"
